URL,Title,PrepTime,TotalTime,Ingredients,Instructions
http://www.delish.com/search//cooking/recipe-ideas/a23515497/easy-beef-stew-recipe/,Beef Stew,0hours15mins,1hour25mins,"['1 tbsp.vegetable oil', '2 lb.beef chuck stew meat, cubed into 1"" pieces', '1 tbsp.extra-virgin olive oil', '1 onion, chopped', '2 carrots, peeled and cut into rounds', '2 stalks celery, chopped', '3 Kosher salt', ' 1/4c.Freshly ground black pepper', '6 c.cloves garlic, minced', '1 c.tomato paste', '1 tbsp.low-sodium beef broth', '1 tsp.red wine', '2 Worcestershire sauce', '1 lb.dried thyme', '1 c.bay leaves', ' 1/4c.baby potatoes, halved']","['In a large dutch oven (or pot), over medium heat, heat oil. Add beef and cook on all sides until seared, 10 minutes, workingin batches if necessary. Transfer beef to a plate.In the same pot, cookonion, carrots, and celery until soft, 5 minutes. Season with salt and pepper. Add garlic and tomato paste and cook until garlic is fragrant and tomato paste has darkened, 2 minutes.Add beef back to dutch oven then add broth, wine, Worcestershire sauce, thyme, and bay leaves.Bring to a boil then reduce heat to a simmer. Season with salt and pepper. Cover and let simmer until beef is tender, 30 minutes.Add potatoes and simmer, covered, until potatoes are tender, 15 minutes.Remove bay leaves. Stir in peas and cook until warmed through, 2 minutes. Garnish with parsley befor serving.']"
http://www.delish.com/search//cooking/recipe-ideas/a23515497/easy-beef-stew-recipe/,Beef Stew,0hours15mins,1hour25mins,"['1 tbsp.vegetable oil', '2 lb.beef chuck stew meat, cubed into 1"" pieces', '1 tbsp.extra-virgin olive oil', '1 onion, chopped', '2 carrots, peeled and cut into rounds', '2 stalks celery, chopped', '3 Kosher salt', ' 1/4c.Freshly ground black pepper', '6 c.cloves garlic, minced', '1 c.tomato paste', '1 tbsp.low-sodium beef broth', '1 tsp.red wine', '2 Worcestershire sauce', '1 lb.dried thyme', '1 c.bay leaves', ' 1/4c.baby potatoes, halved']","['In a large dutch oven (or pot), over medium heat, heat oil. Add beef and cook on all sides until seared, 10 minutes, workingin batches if necessary. Transfer beef to a plate.In the same pot, cookonion, carrots, and celery until soft, 5 minutes. Season with salt and pepper. Add garlic and tomato paste and cook until garlic is fragrant and tomato paste has darkened, 2 minutes.Add beef back to dutch oven then add broth, wine, Worcestershire sauce, thyme, and bay leaves.Bring to a boil then reduce heat to a simmer. Season with salt and pepper. Cover and let simmer until beef is tender, 30 minutes.Add potatoes and simmer, covered, until potatoes are tender, 15 minutes.Remove bay leaves. Stir in peas and cook until warmed through, 2 minutes. Garnish with parsley befor serving.']"
http://www.delish.com/search//cooking/recipe-ideas/a26256517/corned-beef-and-cabbage-recipe/,Corned Beef & Cabbage,0hours10mins,3hours45mins,"['3 lb.corned beef brisket with spice packet', '2 bay leaves', '4 sprigs thyme', ' 1/2lb.baby potatoes, quartered', '4 medium carrots, cut into quarteres', '1 small head cabbage, cut into wedges']","['Place brisket in a large Dutch oven and cover with water. Add spice packet, bay leaves, and thyme and place on medium-high heat. Bring to a boil, then reduce to a simmer. Cook until tender, checking every 30 minutes and adding water if needed, until beef is tender, about 3 hours. Add potatoes and carrots and bring back up to a boil. Cook for 15 minutes, then add cabbage and boil 5 minutes more.Remove meat and drain vegetables. Let meat rest 10 minutes before slicing.']"
http://www.delish.com/search//cooking/recipe-ideas/a26256517/corned-beef-and-cabbage-recipe/,Corned Beef & Cabbage,0hours10mins,3hours45mins,"['3 lb.corned beef brisket with spice packet', '2 bay leaves', '4 sprigs thyme', ' 1/2lb.baby potatoes, quartered', '4 medium carrots, cut into quarteres', '1 small head cabbage, cut into wedges']","['Place brisket in a large Dutch oven and cover with water. Add spice packet, bay leaves, and thyme and place on medium-high heat. Bring to a boil, then reduce to a simmer. Cook until tender, checking every 30 minutes and adding water if needed, until beef is tender, about 3 hours. Add potatoes and carrots and bring back up to a boil. Cook for 15 minutes, then add cabbage and boil 5 minutes more.Remove meat and drain vegetables. Let meat rest 10 minutes before slicing.']"
http://www.delish.com/search//cooking/recipe-ideas/a26595080/corned-beef-sandwich-recipe/,Corned Beef Sandwich,0hours5mins,0hours20mins,"['4 tbsp.butter, softened', '8 slices rye bread', ' 1/4c.mustard', ' 1/4c.relish', ' 1/2lb.deli corned beef', ' 1/2c.sauerkraut']","['Butter one side of each slice of rye bread. On 4 of the unbuttered sides, spread a layer of mustard and relish. Top with corned beef and sauerkraut. Top with remaining slices of bread, buttered side up.Heat a medium skillet over medium heat and place sandwich in skillet. Cook until toasted, 3 minutes per side.']"
http://www.delish.com/search//cooking/recipe-ideas/a26595080/corned-beef-sandwich-recipe/,Corned Beef Sandwich,0hours5mins,0hours20mins,"['4 tbsp.butter, softened', '8 slices rye bread', ' 1/4c.mustard', ' 1/4c.relish', ' 1/2lb.deli corned beef', ' 1/2c.sauerkraut']","['Butter one side of each slice of rye bread. On 4 of the unbuttered sides, spread a layer of mustard and relish. Top with corned beef and sauerkraut. Top with remaining slices of bread, buttered side up.Heat a medium skillet over medium heat and place sandwich in skillet. Cook until toasted, 3 minutes per side.']"
http://www.delish.com/search//cooking/recipe-ideas/a26413859/corned-beef-brisket-recipe/,Corned Beef Brisket,0hours5mins,3hours20mins,"['3 lb.corned beef brisket', ' 1/4c.brown sugar', '2 tsp.freshly ground black pepper', ' 1/2tsp.whole allspice berries', ' 1/2tsp.whole cloves', ' 1/2tsp.coriander seeds']","['Preheat oven to 325�. Trim excess fat from beef and rinse under cold water. Pat dry and place fat side up in large roasting pan fitted with a roasting rack.In a medium bowl, stir together brown sugar, black pepper, allspice, cloves and coriander. Spread spice mix evenly over top of brisket. Add 6 cups water to roasting pan and cover brisket with aluminum foil. Roast for 2 hours, then remove foil and roast until tender, 1 hour more.Let brisket rest for 15 minutes before slicing.']"
http://www.delish.com/search//cooking/recipe-ideas/a26413859/corned-beef-brisket-recipe/,Corned Beef Brisket,0hours5mins,3hours20mins,"['3 lb.corned beef brisket', ' 1/4c.brown sugar', '2 tsp.freshly ground black pepper', ' 1/2tsp.whole allspice berries', ' 1/2tsp.whole cloves', ' 1/2tsp.coriander seeds']","['Preheat oven to 325�. Trim excess fat from beef and rinse under cold water. Pat dry and place fat side up in large roasting pan fitted with a roasting rack.In a medium bowl, stir together brown sugar, black pepper, allspice, cloves and coriander. Spread spice mix evenly over top of brisket. Add 6 cups water to roasting pan and cover brisket with aluminum foil. Roast for 2 hours, then remove foil and roast until tender, 1 hour more.Let brisket rest for 15 minutes before slicing.']"
http://www.delish.com/search//cooking/recipe-ideas/a57965/slow-cooker-corned-beef-and-cabbage-recipe/,Slow Cooker Corned Beef & Cabbage,0hours30mins,6hours0mins,"['1 medium yellow onion, cut into large wedges', '3 large carrots, cut into thirds', '2 stalks celery, cut into thirds', ' 1/2lb.baby potatoes, halved', '1 corned beef brisket (2-3 lbs)', '1 kosher salt', '3 Freshly ground black pepper', '2 packed pickling spice', ' 1/2sprigs thyme']","['Add onion, carrots, celery and potatoes to bowl of your crock pot. Place corned beef on top and season generously with salt, pepper, and pickling spices. Scatter thyme and bay leaves over meat and fill slow cooker bowl with water until it is almost completely covering the meat.Cook on high for 4 to 4 1/2 hours, until meat is tender. Add cabbage to crock pot and cook on high for 45 minutes to 1 hour more until cabbage is tender and cooked through. Remove meat and vegetables from slow cooker, slice and serve.']"
http://www.delish.com/search//cooking/recipe-ideas/a57965/slow-cooker-corned-beef-and-cabbage-recipe/,Slow Cooker Corned Beef & Cabbage,0hours30mins,6hours0mins,"['1 medium yellow onion, cut into large wedges', '3 large carrots, cut into thirds', '2 stalks celery, cut into thirds', ' 1/2lb.baby potatoes, halved', '1 corned beef brisket (2-3 lbs)', '1 kosher salt', '3 Freshly ground black pepper', '2 packed pickling spice', ' 1/2sprigs thyme']","['Add onion, carrots, celery and potatoes to bowl of your crock pot. Place corned beef on top and season generously with salt, pepper, and pickling spices. Scatter thyme and bay leaves over meat and fill slow cooker bowl with water until it is almost completely covering the meat.Cook on high for 4 to 4 1/2 hours, until meat is tender. Add cabbage to crock pot and cook on high for 45 minutes to 1 hour more until cabbage is tender and cooked through. Remove meat and vegetables from slow cooker, slice and serve.']"
http://www.delish.com/search//cooking/recipe-ideas/a26258692/irish-stew-recipe/,Irish Beef Stew,0hours15mins,1hour10mins,"['3 tbsp.extra-virgin olive oil, divided', '2 lb.beef chuck stew meat, cubed into 1"" pieces', '1 Kosher salt', '2 Freshly ground black pepper', '2 onion, chopped', '3 medium carrots, peeled and cut into rounds', '3 stalks celery, chopped', '4 c.cloves garlic, minced', '1 medium russet potatoes, peeled and cut into large chunks', '2 tsp.low-sodium beef broth']","['In a large Dutch oven over medium heat, heat 2 tablespoons oil. Season beef with salt and pepper, then add to pot and cook on all sides until seared, 10 minutes, working in batches if necessary. Transfer beef to a plate.In same pot, add remaining tablespoon oil and cook onion, carrots, and celery until soft, 5 minutes. Season with salt and pepper. Add garlic and cook until fragrant, 1 minute.Add beef back to Dutch oven, then add potatoes, broth, beer, and thyme. Bring to a boil, then reduce heat to a simmer. Season with salt and pepper. Cover and let simmer until beef and potatoes are tender, 30 minutes.Garnish with parsley before serving.']"
http://www.delish.com/search//cooking/recipe-ideas/a26258692/irish-stew-recipe/,Irish Beef Stew,0hours15mins,1hour10mins,"['3 tbsp.extra-virgin olive oil, divided', '2 lb.beef chuck stew meat, cubed into 1"" pieces', '1 Kosher salt', '2 Freshly ground black pepper', '2 onion, chopped', '3 medium carrots, peeled and cut into rounds', '3 stalks celery, chopped', '4 c.cloves garlic, minced', '1 medium russet potatoes, peeled and cut into large chunks', '2 tsp.low-sodium beef broth']","['In a large Dutch oven over medium heat, heat 2 tablespoons oil. Season beef with salt and pepper, then add to pot and cook on all sides until seared, 10 minutes, working in batches if necessary. Transfer beef to a plate.In same pot, add remaining tablespoon oil and cook onion, carrots, and celery until soft, 5 minutes. Season with salt and pepper. Add garlic and cook until fragrant, 1 minute.Add beef back to Dutch oven, then add potatoes, broth, beer, and thyme. Bring to a boil, then reduce heat to a simmer. Season with salt and pepper. Cover and let simmer until beef and potatoes are tender, 30 minutes.Garnish with parsley before serving.']"
http://www.delish.com/search//cooking/recipe-ideas/a26243431/instant-pot-corned-beef-recipe/,Instant Pot Corned Beef,0hours15mins,2hours45mins,"['1 large onion, cut into wedges', '1 (2-lb.) corned beef brisket, with seasoning packet', '4 c.low-sodium chicken broth', '1 small head cabbage, core removed and cut into wedges', '1 lb.baby potatoes, halved', '4 medium carrots, sliced and cut on the bias', '3 tbsp.extra-vigin olive oil']","["" Place onion in bottom of a 6-quart Instant Pot. Place brisket on top and add seasoning packet. Pour in broth and seal lid. Set to pressure cook on high for 90 minutes.Follow manufacturer's guide for quick release, then remove corned beef and onions from Instant Pot. Keep remaining cooking liquid inside Instant Pot. Cover beef and keep warm.Add cabbage, potatoes, carrots, and oil to Instant Pot. Season with salt and pepper, then seal lid. Set to pressure cook on high for 4 minutes.Follow manufacturer's guide for quick release, then remove lid and serve vegetables with corned beef. Garnish with parsley and spoon additional cooking liquid over beef, if desired.""]"
http://www.delish.com/search//cooking/recipe-ideas/a26243431/instant-pot-corned-beef-recipe/,Instant Pot Corned Beef,0hours15mins,2hours45mins,"['1 large onion, cut into wedges', '1 (2-lb.) corned beef brisket, with seasoning packet', '4 c.low-sodium chicken broth', '1 small head cabbage, core removed and cut into wedges', '1 lb.baby potatoes, halved', '4 medium carrots, sliced and cut on the bias', '3 tbsp.extra-vigin olive oil']","["" Place onion in bottom of a 6-quart Instant Pot. Place brisket on top and add seasoning packet. Pour in broth and seal lid. Set to pressure cook on high for 90 minutes.Follow manufacturer's guide for quick release, then remove corned beef and onions from Instant Pot. Keep remaining cooking liquid inside Instant Pot. Cover beef and keep warm.Add cabbage, potatoes, carrots, and oil to Instant Pot. Season with salt and pepper, then seal lid. Set to pressure cook on high for 4 minutes.Follow manufacturer's guide for quick release, then remove lid and serve vegetables with corned beef. Garnish with parsley and spoon additional cooking liquid over beef, if desired.""]"
http://www.delish.com/search//cooking/recipe-ideas/a26311211/corned-beef-hash-and-eggs-recipe/,Corned Beef Hash and Eggs,0hours20mins,0hours55mins,"['3 tbsp.extra-virgin olive oil', '1 onion, chopped', '1 bell pepper, chopped', '3 large russet potatoes, cubed', '1 tsp.dried oregano', '1 c.Kosher salt', '6 Freshly ground black pepper']","['Preheat oven to 400�. In a large ovenproof skillet over medium heat, heat oil. Add onion and bell pepper and cook until softened, 5 minutes, then add potatoes, oregano, salt and pepper.Cook until potatoes are golden and easily pierced with a fork, another 15 to 20 minutes. Add corned beef and cook until crispy, 5 minutes.Make 6 wells in hash, then crack an egg into each well. Season the eggs with salt and pepper.Transfer skillet to oven and bake until whites are just set, 8 minutes.']"
http://www.delish.com/search//cooking/recipe-ideas/a26311211/corned-beef-hash-and-eggs-recipe/,Corned Beef Hash and Eggs,0hours20mins,0hours55mins,"['3 tbsp.extra-virgin olive oil', '1 onion, chopped', '1 bell pepper, chopped', '3 large russet potatoes, cubed', '1 tsp.dried oregano', '1 c.Kosher salt', '6 Freshly ground black pepper']","['Preheat oven to 400�. In a large ovenproof skillet over medium heat, heat oil. Add onion and bell pepper and cook until softened, 5 minutes, then add potatoes, oregano, salt and pepper.Cook until potatoes are golden and easily pierced with a fork, another 15 to 20 minutes. Add corned beef and cook until crispy, 5 minutes.Make 6 wells in hash, then crack an egg into each well. Season the eggs with salt and pepper.Transfer skillet to oven and bake until whites are just set, 8 minutes.']"
http://www.delish.com/search//cooking/recipe-ideas/a58253/best-homemade-chili-recipe/,Best-Ever Beef Chili,0hours10mins,0hours40mins,"['1 tbsp.extra-virgin olive oil', ' 1/2large whiteonion, chopped', '3 cloves garlic, minced', '2 tbsp.tomato paste', '1 1/2lb.ground beef', '1 1/2tbsp.chili powder', '1 tsp.ground cumin', '1 tsp.dried oregano', ' 1/2tsp.paprika', ' 1/4tsp.cayenne pepper (optional)', '1 Kosher salt', '1 Freshly ground black pepper']","['In a large pot over medium heat, heat oil. Add onion and cook until soft, about 5 minutes. Stir in garlic and cook until fragrant, about 1 minute more, then add tomato paste, stirring to combine. Add ground beef and cook until no longer pink. Drain fat and return to heat. Add chili powder, cumin, oregano, paprika, cayenne (if using), and season generouslywith salt and pepper. Pour in kidney beans and crushed tomatoes and bring chili to a boil. Reduceheat and simmer20 minutes. Season with more salt and pepper, if necessary.Ladle into bowls and topwith cheddar, sour cream, and green onions. ']"
http://www.delish.com/search//cooking/recipe-ideas/a58253/best-homemade-chili-recipe/,Best-Ever Beef Chili,0hours10mins,0hours40mins,"['1 tbsp.extra-virgin olive oil', ' 1/2large whiteonion, chopped', '3 cloves garlic, minced', '2 tbsp.tomato paste', '1 1/2lb.ground beef', '1 1/2tbsp.chili powder', '1 tsp.ground cumin', '1 tsp.dried oregano', ' 1/2tsp.paprika', ' 1/4tsp.cayenne pepper (optional)', '1 Kosher salt', '1 Freshly ground black pepper']","['In a large pot over medium heat, heat oil. Add onion and cook until soft, about 5 minutes. Stir in garlic and cook until fragrant, about 1 minute more, then add tomato paste, stirring to combine. Add ground beef and cook until no longer pink. Drain fat and return to heat. Add chili powder, cumin, oregano, paprika, cayenne (if using), and season generouslywith salt and pepper. Pour in kidney beans and crushed tomatoes and bring chili to a boil. Reduceheat and simmer20 minutes. Season with more salt and pepper, if necessary.Ladle into bowls and topwith cheddar, sour cream, and green onions. ']"
http://www.delish.com/search//cooking/recipe-ideas/a26730042/reuben-crescent-roll-ups-recipe/,Reuben Crescent Roll-Ups,0hours10mins,0hours45mins,"['1 tube Crescent Rolls', '1 c.shredded Swiss cheese', ' 1/4lb.corned beef, thinly sliced', '1 c.sauerkraut', '2 tbsp.melted butter', ' 1/4c.Kosher salt', '1 tbsp.Freshly ground black pepper', '1 tbsp.mayonnaise', '1 tsp.ketchup']","['Preheat oven to 350�. Line a large baking sheet with parchment paper.Separate crescent dough into triangles. Top each triangle with an even layer of cheese, corned beef, and sauerkraut. Roll each triangle up, starting from the widest end. Place on prepared baking sheet and brush with butter. Season each roll-up with salt and pepper and bake until golden and cooked through, 20 to 25 minutes.Meanwhile, make Russian dressing: In a medium bowl, whisk together mayo, ketchup, horseradish, and Worcestershire sauce. Season with salt and pepper.Serve roll-ups hot with dressing on the side for dipping.']"
http://www.delish.com/search//cooking/recipe-ideas/a26730042/reuben-crescent-roll-ups-recipe/,Reuben Crescent Roll-Ups,0hours10mins,0hours45mins,"['1 tube Crescent Rolls', '1 c.shredded Swiss cheese', ' 1/4lb.corned beef, thinly sliced', '1 c.sauerkraut', '2 tbsp.melted butter', ' 1/4c.Kosher salt', '1 tbsp.Freshly ground black pepper', '1 tbsp.mayonnaise', '1 tsp.ketchup']","['Preheat oven to 350�. Line a large baking sheet with parchment paper.Separate crescent dough into triangles. Top each triangle with an even layer of cheese, corned beef, and sauerkraut. Roll each triangle up, starting from the widest end. Place on prepared baking sheet and brush with butter. Season each roll-up with salt and pepper and bake until golden and cooked through, 20 to 25 minutes.Meanwhile, make Russian dressing: In a medium bowl, whisk together mayo, ketchup, horseradish, and Worcestershire sauce. Season with salt and pepper.Serve roll-ups hot with dressing on the side for dipping.']"
